F1 93Kon,
HBaCu             s,
HBaCu,
  -2597          3915;

H1 89Nik,
HBa,
HBa      xCu      T,
  -10207    0.989     1400 ,
  -10207    0.972     1400 ,
   -9793    0.993     1400 ,
   -9793    0.979     1400 ,
   -9655    0.951     1400 ,
   -9103    0.989     1400 ,
   -9103    0.958     1400 ,
   -8828    0.951     1400 ,
   -8690    0.965     1400 ,
   -8483    0.986     1400 ,
   -8276    0.979     1400 ,
   -8138    0.937     1400 ,
   -7931    0.972     1400 ,
   -7931    0.951     1400 ,
   -7793    0.961     1400 ,
   -7310    0.996     1400 ,
   -6621    0.996     1400 ,
   -6483    0.982     1400 ,
   -6483    0.908     1400 ,
   -6276    0.965     1400 ,
   -5793    0.986     1400 ,
   -5793    0.972     1400 ,
   -5793    0.944     1400 ,
   -5517    0.954     1400 ,
   -5517    0.901     1400 ,
   -5379    0.996     1400 ,
   -5379    0.951     1400 ,
   -5103    0.986     1400 ,
   -5103    0.930     1400 ,
   -4966    0.979     1400 ,
   -4897    0.965     1400 ,
   -4897    0.870     1400 ,
   -4000    0.873     1400 ,
   -3517    0.968     1400 ,
   -3172    0.908     1400 ,
   -2483    0.908     1400 ,
   -2483    0.947     1400 ,
   -2069    0.947     1400 ,
   -1379    0.870     1400 ,
   -1241    0.915     1400 ,
    -828    0.894     1400 ,
    -414    0.838     1400 ,
    -276    0.873     1400 ,
   -3172    0.810     1400 ,
   -2897    0.866     1400 ,
   -2483    0.845     1400 ,
   -2276    0.820     1400 ,
   -2276    0.789     1400 ,
   -2207    0.697     1400 ,
   -2069    0.704     1400 ,
   -1517    0.838     1400 ,
     276    0.796     1400 ,
     276    0.775     1400 ,
     414    0.725     1400 ,
    -759    0.768     1400 ,
    -621    0.782     1400 ,
    -414    0.806     1400 ,
     552    0.884     1400 ,
     690    0.775     1400 ,
     414    0.754     1400 ,
     759    0.725     1400 ,
    1241    0.838     1400 ,
    1517    0.803     1400 ,
    1724    0.880     1400 ,
    1724    0.743     1400 ,
    2345    0.722     1400 ,
    2897    0.718     1400 ,
    3379    0.697     1400 ;

H2 93Use,
HBa                         2s,
HBa      xCu      T,
   15170    1.000     1500  1900,
   11268    0.950     1500  1200,
    7938    0.900     1500   800,
    5141    0.850     1500   900,
    2835    0.800     1500  1100,
     982    0.750     1500  1400;

H3 89Nik,
HCu,
HCu      xCu      T,
   -1517    0.556     1150 ,
   -1517    0.493     1150 ,
   -1517    0.451     1150 ,
   -1517    0.359     1150 ,
   -1724    0.345     1150 ,
   -1586    0.303     1150 ,
   -1931    0.042     1150 ,
   -1103    0.577     1150 ,
    -966    0.514     1150 ,
   -1103    0.472     1150 ,
   -1241    0.380     1150 ,
   -1241    0.261     1150 ,
   -1241    0.225     1150 ,
   -1103    0.120     1150 ,
   -1103    0.070     1150 ,
    -828    0.433     1150 ,
    -276    0.585     1150 ,
    -345    0.525     1150 ,
    -138    0.486     1150 ,
    -138    0.451     1150 ,
    -276    0.430     1150 ,
    -138    0.408     1150 ,
    -690    0.380     1150 ,
    -276    0.310     1150 ,
    -414    0.180     1150 ,
    -414    0.148     1150 ,
    -345    0.014     1150 ,
     138    0.380     1150 ,
     414    0.345     1150 ,
     276    0.331     1150 ,
      -0    0.289     1150 ,
     276    0.275     1150 ,
     138    0.261     1150 ,
     138    0.239     1150 ,
     276    0.218     1150 ,
     690    0.197     1150 ,
     414    0.176     1150 ,
     690    0.155     1150 ,
     414    0.141     1150 ,
     414    0.120     1150 ,
    1103    0.063     1150 ,
    2069    0.049     1150 ,
    2897    0.021     1150 ;

L1 71Bru,
Ba_L,
T        xCu,
     818    0.150 ,
     878    0.100 ,
     938    0.050 ;

L2 93Kon,
Ba_L,
T        xCu,
    748    0.207;

L3 71Bru,
BaCu_L,
T        xCu,
     833    0.529 ,
     838    0.480 ,
     840    0.425 ,
     813    0.350 ,
     788    0.300 ;

L4 93Kon,
BaCu_L,
T        xCu,
    834    0.499;

*B1 59Bra,
BaCu_L,
T        xCu,
     898    0.399 ;

L5 59Bra,
BaCu13_L,
T        xCu,
     919    0.605 ,
     916    0.575 ;

L6 71Bru,
BaCu13_L,
T        xCu,
     867    0.574 ;

L7 59Bra,
Cu_L,
T        xCu,
    1305    0.968 ,
    1278    0.932 ,
    1260    0.926 ,
    1242    0.920 ,
    1242    0.900 ,
    1219    0.872 ,
    1213    0.868 ,
    1162    0.817 ,
    1136    0.803 ,
    1124    0.773 ,
    1100    0.766 ,
    1059    0.718 ,
    1005    0.652 ;

L8 71Bru,
Cu_L,
T        xCu,
    1223    0.850 ,
    1118    0.750 ;

