

../../../bin/assess plane outtd
           T            p x(Y2Ba4Cu7O14) x(Y2Ba4Cu7O15)            G            H            S           Cp G(Y2Ba4Cu7O14) G(Y2Ba4Cu7O15) H(Y2Ba4Cu7O14) H(Y2Ba4Cu7O15) S(Y2Ba4Cu7O14) S(Y2Ba4Cu7O15) 
         300            1            1            0      -356380      -146466      699.713       589.37      -356380      -585244      -146466      -304763      699.713      934.934 
         400            1            1            0      -435488     -84982.9      876.263      636.868      -435488      -688076     -84982.9      -241653      876.263      1116.06 
         500            1            1            0      -530614     -19597.4      1022.03      668.981      -530614      -807498     -19597.4      -173330      1022.03      1268.34 
         600            1            1            0      -639177      48525.8      1146.17      692.368      -639177      -941043      48525.8      -101321      1146.17      1399.54 
         700            1            1            0      -759317       118697      1254.31      710.332      -759317 -1.08687e+06       118697     -26540.8      1254.31      1514.76 
         800            1            1            0      -889629       190472      1350.13      724.673      -889629 -1.24358e+06       190472      50419.6      1350.13       1617.5 
         900            1            1            0 -1.02902e+06       263547      1436.18       736.46 -1.02902e+06 -1.41004e+06       263547       129151      1436.18      1710.21 
        1000            1            1            0  -1.1766e+06       337702       1514.3      746.369  -1.1766e+06 -1.58535e+06       337702       209359       1514.3      1794.71 
        1100            1            1            0 -1.33166e+06       412773      1585.85      754.851 -1.33166e+06 -1.76875e+06       412773       290822      1585.85      1872.34 
        1200            1            1            0 -1.49359e+06       488635      1651.85      762.217 -1.49359e+06 -1.95962e+06       488635       373367      1651.85      1944.16 
        1300            1            1            0 -1.66187e+06       565187      1713.12      768.693 -1.66187e+06 -2.15742e+06       565187       456861      1713.12      2010.99 

           T            p x(Y2Ba4Cu7O14) x(Y2Ba4Cu7O15)            G            H            S           Cp G(Y2Ba4Cu7O14) G(Y2Ba4Cu7O15) H(Y2Ba4Cu7O14) H(Y2Ba4Cu7O15) S(Y2Ba4Cu7O14) S(Y2Ba4Cu7O15) 
         300            1         0.75         0.25      -390945      -181017      699.759      591.352      -360801      -481375      -150805      -271651      699.986      699.078 
         400            1         0.75         0.25      -470108      -119127      877.452      642.767      -439936      -560621     -89322.1      -208541      876.536      880.201 
         500            1         0.75         0.25      -565432     -53006.9      1024.85      677.624      -535090      -656458     -23936.6      -140218      1022.31      1032.48 
         600            1         0.75         0.25      -674365      16087.6      1150.75      703.061      -643680      -766417      44186.6     -68209.3      1146.44      1163.68 
